"Sujeito";"Predicado";"Objeto"
"/index.php/Aegon_Frey_(Jinglebell)";"Book(s)";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_Frey_(Jinglebell)";"Book(s)";"/index.php/A_Feast_for_Crows"
"/index.php/Aegon_Frey_(Jinglebell)";"Book(s)";"A Clash of Kings (Mentioned)"
"/index.php/Aegon_Frey_(Jinglebell)";"Book(s)";"A Storm of Swords (Appears)"
"/index.php/Aegon_Frey_(Jinglebell)";"Book(s)";"A Feast for Crows (Mentioned)"
"/index.php/Aegon_Frey_(Jinglebell)";"name";"Aegon Frey (Jinglebell)"
"/index.php/Aegon_Frey_(Bloodborn)";"Alias";"Aegon Bloodborn"
"/index.php/Aegon_Frey_(Bloodborn)";"Allegiance";"/index.php/House_Frey"
"/index.php/Aegon_Frey_(Bloodborn)";"Allegiance";"House Frey"
"/index.php/Aegon_Frey_(Bloodborn)";"Born";"In or between 253AC and 272AC"
"/index.php/Aegon_Frey_(Bloodborn)";"Book(s)";"/index.php/A_Clash_of_Kings"
"/index.php/Aegon_Frey_(Bloodborn)";"Book(s)";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_Frey_(Bloodborn)";"Book(s)";"/index.php/A_Feast_for_Crows"
"/index.php/Aegon_Frey_(Bloodborn)";"Book(s)";"/index.php/A_Dance_with_Dragons"
"/index.php/Aegon_Frey_(Bloodborn)";"Book(s)";"A Clash of Kings (Mentioned)"
"/index.php/Aegon_Frey_(Bloodborn)";"Book(s)";"A Storm of Swords (Mentioned)"
"/index.php/Aegon_Frey_(Bloodborn)";"Book(s)";"A Feast for Crows (Mentioned)"
"/index.php/Aegon_Frey_(Bloodborn)";"Book(s)";"A Dance with Dragons (Mentioned)"
"/index.php/Aegon_Frey_(Bloodborn)";"name";"Aegon Frey (Bloodborn)"
"/index.php/Aegon_I_Targaryen";"Reign";"1AC 37AC"
"/index.php/Aegon_I_Targaryen";"Coronation";"1AC"
"/index.php/Aegon_I_Targaryen";"Full Name";"Aegon Targaryen First of His Name"
"/index.php/Aegon_I_Targaryen";"Alias";"Aegon the Conqueror"
"/index.php/Aegon_I_Targaryen";"Alias";"Aegon the Dragon"
"/index.php/Aegon_I_Targaryen";"Alias";"Aegon the Dragonlord"
"/index.php/Aegon_I_Targaryen";"Other Titles";"/index.php/Seven_Kingdoms"
"/index.php/Aegon_I_Targaryen";"Other Titles";"Lord of Dragonstone"
"/index.php/Aegon_I_Targaryen";"Other Titles";"King of the Seven Kingdoms"
"/index.php/Aegon_I_Targaryen";"Born in";"/index.php/Years_before_Aegon%27s_Landing"
"/index.php/Aegon_I_Targaryen";"Born in";"/index.php/Dragonstone"
"/index.php/Aegon_I_Targaryen";"Born in";"27 BC, at Dragonstone"
"/index.php/Aegon_I_Targaryen";"Died in";"/index.php/Dragonstone"
"/index.php/Aegon_I_Targaryen";"Died in";"37AC, at Dragonstone"
"/index.php/Aegon_I_Targaryen";"Royal House";"/index.php/House_Targaryen"
"/index.php/Aegon_I_Targaryen";"Royal House";"House Targaryen"
"/index.php/Aegon_I_Targaryen";"Predecessor";"none"
"/index.php/Aegon_I_Targaryen";"Heir";"/index.php/Aenys_I_Targaryen"
"/index.php/Aegon_I_Targaryen";"Heir";"Aenys Targaryen"
"/index.php/Aegon_I_Targaryen";"Successor";"/index.php/Aenys_I_Targaryen"
"/index.php/Aegon_I_Targaryen";"Successor";"Aenys I Targaryen"
"/index.php/Aegon_I_Targaryen";"Queen";"/index.php/Visenya_Targaryen"
"/index.php/Aegon_I_Targaryen";"Queen";"/index.php/Rhaenys_Targaryen"
"/index.php/Aegon_I_Targaryen";"Queen";"Visenya Targaryen"
"/index.php/Aegon_I_Targaryen";"Queen";"Rhaenys Targaryen"
"/index.php/Aegon_I_Targaryen";"Issue";"/index.php/Aenys_I_Targaryen"
"/index.php/Aegon_I_Targaryen";"Issue";"/index.php/Maegor_I_Targaryen"
"/index.php/Aegon_I_Targaryen";"Issue";"Aenys I Targaryen"
"/index.php/Aegon_I_Targaryen";"Issue";"Maegor I Targaryen"
"/index.php/Aegon_I_Targaryen";"Father";"/index.php/Aerion_Targaryen_(son_of_Daemion)"
"/index.php/Aegon_I_Targaryen";"Father";"Aerion Targaryen"
"/index.php/Aegon_I_Targaryen";"Mother";"/index.php/Valaena_Velaryon"
"/index.php/Aegon_I_Targaryen";"Mother";"Valaena Velaryon"
"/index.php/Aegon_I_Targaryen";"Books";"/index.php/The_Princess_and_the_Queen"
"/index.php/Aegon_I_Targaryen";"Books";"/index.php/The_Hedge_Knight"
"/index.php/Aegon_I_Targaryen";"Books";"/index.php/The_Sworn_Sword"
"/index.php/Aegon_I_Targaryen";"Books";"/index.php/The_Mystery_Knight"
"/index.php/Aegon_I_Targaryen";"Books";"/index.php/A_Game_of_Thrones"
"/index.php/Aegon_I_Targaryen";"Books";"/index.php/A_Clash_of_Kings"
"/index.php/Aegon_I_Targaryen";"Books";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_I_Targaryen";"Books";"/index.php/A_Feast_for_Crows"
"/index.php/Aegon_I_Targaryen";"Books";"/index.php/A_Dance_with_Dragons"
"/index.php/Aegon_I_Targaryen";"Books";"The Princess and the Queen (Mentioned)"
"/index.php/Aegon_I_Targaryen";"Books";"The Hedge Knight (Mentioned)"
"/index.php/Aegon_I_Targaryen";"Books";"The Sworn Sword (Mentioned)"
"/index.php/Aegon_I_Targaryen";"Books";"The Mystery Knight (Mentioned)"
"/index.php/Aegon_I_Targaryen";"Books";"A Game of Thrones (Mentioned)"
"/index.php/Aegon_I_Targaryen";"Books";"A Clash of Kings (Mentioned)"
"/index.php/Aegon_I_Targaryen";"Books";"A Storm of Swords (Mentioned)"
"/index.php/Aegon_I_Targaryen";"Books";"A Feast for Crows (Mentioned)"
"/index.php/Aegon_I_Targaryen";"Books";"A Dance with Dragons (Mentioned)"
"/index.php/Aegon_I_Targaryen";"name";"Aegon I Targaryen"
"/index.php/Aegon_II_Targaryen";"Reign";"129AC - 131AC"
"/index.php/Aegon_II_Targaryen";"Full Name";"/index.php/Aegon_II"
"/index.php/Aegon_II_Targaryen";"Full Name";"Aegon II Targaryen Second of His Name"
"/index.php/Aegon_II_Targaryen";"Alias";"Aegon the Elder"
"/index.php/Aegon_II_Targaryen";"Alias";"Aegon the Usurper"
"/index.php/Aegon_II_Targaryen";"Other Titles";"/index.php/Seven_Kingdoms"
"/index.php/Aegon_II_Targaryen";"Other Titles";"King of the Seven Kingdoms"
"/index.php/Aegon_II_Targaryen";"Born in";"/index.php/King%27s_Landing"
"/index.php/Aegon_II_Targaryen";"Born in";"107AC, at King's Landing"
"/index.php/Aegon_II_Targaryen";"Died in";"/index.php/King%27s_Landing"
"/index.php/Aegon_II_Targaryen";"Died in";"131AC, at King's Landing"
"/index.php/Aegon_II_Targaryen";"Royal House";"/index.php/House_Targaryen"
"/index.php/Aegon_II_Targaryen";"Royal House";"House Targaryen"
"/index.php/Aegon_II_Targaryen";"Predecessor";"/index.php/Viserys_I_Targaryen"
"/index.php/Aegon_II_Targaryen";"Predecessor";"Viserys I Targaryen"
"/index.php/Aegon_II_Targaryen";"Successor";"/index.php/Aegon_III_Targaryen"
"/index.php/Aegon_II_Targaryen";"Successor";"Aegon III Targaryen"
"/index.php/Aegon_II_Targaryen";"Queen";"/index.php/Helaena_Targaryen"
"/index.php/Aegon_II_Targaryen";"Queen";"Helaena Targaryen"
"/index.php/Aegon_II_Targaryen";"Issue";"/index.php/Jaehaerys_Targaryen_(son_of_Aegon_II)"
"/index.php/Aegon_II_Targaryen";"Issue";"/index.php/Jaehaera_Targaryen"
"/index.php/Aegon_II_Targaryen";"Issue";"/index.php/Maelor_Targaryen"
"/index.php/Aegon_II_Targaryen";"Issue";"Jaehaerys Targaryen"
"/index.php/Aegon_II_Targaryen";"Issue";"Jaehaera Targaryen"
"/index.php/Aegon_II_Targaryen";"Issue";"Maelor Targaryen"
"/index.php/Aegon_II_Targaryen";"Father";"/index.php/Viserys_I_Targaryen"
"/index.php/Aegon_II_Targaryen";"Father";"Viserys I Targaryen"
"/index.php/Aegon_II_Targaryen";"Mother";"/index.php/Alicent_Hightower"
"/index.php/Aegon_II_Targaryen";"Mother";"Alicent Hightower"
"/index.php/Aegon_II_Targaryen";"Books";"/index.php/The_Rogue_Prince"
"/index.php/Aegon_II_Targaryen";"Books";"/index.php/The_Princess_and_the_Queen"
"/index.php/Aegon_II_Targaryen";"Books";"/index.php/A_Game_of_Thrones"
"/index.php/Aegon_II_Targaryen";"Books";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_II_Targaryen";"Books";"/index.php/A_Feast_for_Crows"
"/index.php/Aegon_II_Targaryen";"Books";"The Rogue Prince (Appears)"
"/index.php/Aegon_II_Targaryen";"Books";"The Princess and the Queen (Appears)"
"/index.php/Aegon_II_Targaryen";"Books";"A Game of Thrones (Mentioned)"
"/index.php/Aegon_II_Targaryen";"Books";"A Storm of Swords (Mentioned)"
"/index.php/Aegon_II_Targaryen";"Books";"A Feast for Crows (Mentioned)"
"/index.php/Aegon_II_Targaryen";"name";"Aegon II Targaryen"
"/index.php/Aegon_III_Targaryen";"Reign";"131AC - 157AC"
"/index.php/Aegon_III_Targaryen";"Full Name";"Aegon of House Targaryen, the Third of His Name"
"/index.php/Aegon_III_Targaryen";"Alias";"Aegon the Younger"
"/index.php/Aegon_III_Targaryen";"Alias";"Aegon the Dragonbane"
"/index.php/Aegon_III_Targaryen";"Alias";"Aegon the Unlucky"
"/index.php/Aegon_III_Targaryen";"Other Titles";"King of the Andals, the Rhoynar, and the First Men"
"/index.php/Aegon_III_Targaryen";"Other Titles";"Lord of the Seven Kingdoms"
"/index.php/Aegon_III_Targaryen";"Other Titles";"Protector of the Realm"
"/index.php/Aegon_III_Targaryen";"Born in";"/index.php/Dragonstone"
"/index.php/Aegon_III_Targaryen";"Born in";"120AC, at Dragonstone"
"/index.php/Aegon_III_Targaryen";"Died in";"/index.php/King%27s_Landing"
"/index.php/Aegon_III_Targaryen";"Died in";"157AC, at King's Landing"
"/index.php/Aegon_III_Targaryen";"Culture";"/index.php/Valyria"
"/index.php/Aegon_III_Targaryen";"Culture";"Valyrian"
"/index.php/Aegon_III_Targaryen";"Royal House";"/index.php/House_Targaryen"
"/index.php/Aegon_III_Targaryen";"Royal House";"House Targaryen"
"/index.php/Aegon_III_Targaryen";"Predecessor";"/index.php/Aegon_II_Targaryen"
"/index.php/Aegon_III_Targaryen";"Predecessor";"Aegon II Targaryen"
"/index.php/Aegon_III_Targaryen";"Heir";"/index.php/Daeron_I_Targaryen"
"/index.php/Aegon_III_Targaryen";"Heir";"Daeron I Targaryen"
"/index.php/Aegon_III_Targaryen";"Successor";"/index.php/Daeron_I_Targaryen"
"/index.php/Aegon_III_Targaryen";"Successor";"Daeron I Targaryen"
"/index.php/Aegon_III_Targaryen";"Queen";"/index.php/Jaehaera_Targaryen"
"/index.php/Aegon_III_Targaryen";"Queen";"/index.php/Daenaera_Velaryon"
"/index.php/Aegon_III_Targaryen";"Queen";"1st: Jaehaera Targaryen"
"/index.php/Aegon_III_Targaryen";"Queen";"2nd: Daenaera Velaryon"
"/index.php/Aegon_III_Targaryen";"Issue";"/index.php/Daeron_I_Targaryen"
"/index.php/Aegon_III_Targaryen";"Issue";"/index.php/Baelor_I_Targaryen"
"/index.php/Aegon_III_Targaryen";"Issue";"/index.php/Daena_Targaryen"
"/index.php/Aegon_III_Targaryen";"Issue";"/index.php/Rhaena_Targaryen_(daughter_of_Aegon_III)"
"/index.php/Aegon_III_Targaryen";"Issue";"/index.php/Elaena_Targaryen"
"/index.php/Aegon_III_Targaryen";"Issue";"Daeron I Targaryen"
"/index.php/Aegon_III_Targaryen";"Issue";"Baelor I Targaryen"
"/index.php/Aegon_III_Targaryen";"Issue";"Daena the Defiant Targaryen"
"/index.php/Aegon_III_Targaryen";"Issue";"Rhaena Targaryen"
"/index.php/Aegon_III_Targaryen";"Issue";"Elaena Targaryen"
"/index.php/Aegon_III_Targaryen";"Father";"/index.php/Daemon_Targaryen"
"/index.php/Aegon_III_Targaryen";"Father";"Daemon Targaryen"
"/index.php/Aegon_III_Targaryen";"Mother";"/index.php/Rhaenyra_Targaryen"
"/index.php/Aegon_III_Targaryen";"Mother";"Rhaenyra Targaryen"
"/index.php/Aegon_III_Targaryen";"Books";"/index.php/The_Rogue_Prince"
"/index.php/Aegon_III_Targaryen";"Books";"/index.php/The_Princess_and_the_Queen"
"/index.php/Aegon_III_Targaryen";"Books";"/index.php/The_Hedge_Knight"
"/index.php/Aegon_III_Targaryen";"Books";"/index.php/A_Game_of_Thrones"
"/index.php/Aegon_III_Targaryen";"Books";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_III_Targaryen";"Books";"The Rogue Prince (Appears)"
"/index.php/Aegon_III_Targaryen";"Books";"The Princess and the Queen (Appears)"
"/index.php/Aegon_III_Targaryen";"Books";"The Hedge Knight (Mentioned)"
"/index.php/Aegon_III_Targaryen";"Books";"A Game of Thrones (Mentioned)"
"/index.php/Aegon_III_Targaryen";"Books";"A Storm of Swords (Mentioned)"
"/index.php/Aegon_III_Targaryen";"name";"Aegon III Targaryen"
"/index.php/Aegon_IV_Targaryen";"Reign";"172AC - 184AC"
"/index.php/Aegon_IV_Targaryen";"Full Name";"Aegon Targaryen Fourth of His Name"
"/index.php/Aegon_IV_Targaryen";"Alias";"Aegon the Unworthy"
"/index.php/Aegon_IV_Targaryen";"Other Titles";"/index.php/Seven_Kingdoms"
"/index.php/Aegon_IV_Targaryen";"Other Titles";"King of the Seven Kingdoms"
"/index.php/Aegon_IV_Targaryen";"Born in";"/index.php/King%27s_Landing"
"/index.php/Aegon_IV_Targaryen";"Born in";"or between 135AC and 143AC, at King's Landing"
"/index.php/Aegon_IV_Targaryen";"Died in";"/index.php/King%27s_Landing"
"/index.php/Aegon_IV_Targaryen";"Died in";"184AC, at King's Landing"
"/index.php/Aegon_IV_Targaryen";"Royal House";"/index.php/House_Targaryen"
"/index.php/Aegon_IV_Targaryen";"Royal House";"House Targaryen"
"/index.php/Aegon_IV_Targaryen";"Predecessor";"/index.php/Viserys_II_Targaryen"
"/index.php/Aegon_IV_Targaryen";"Predecessor";"Viserys II Targaryen"
"/index.php/Aegon_IV_Targaryen";"Heir";"/index.php/Daeron_II_Targaryen"
"/index.php/Aegon_IV_Targaryen";"Heir";"Daeron II Targaryen"
"/index.php/Aegon_IV_Targaryen";"Successor";"/index.php/Daeron_II_Targaryen"
"/index.php/Aegon_IV_Targaryen";"Successor";"Daeron II Targaryen"
"/index.php/Aegon_IV_Targaryen";"Queen";"/index.php/Naerys_Targaryen"
"/index.php/Aegon_IV_Targaryen";"Queen";"Naerys Targaryen"
"/index.php/Aegon_IV_Targaryen";"Issue";"/index.php/Daeron_II_Targaryen"
"/index.php/Aegon_IV_Targaryen";"Issue";"/index.php/Daenerys_Targaryen_(daughter_of_Aegon_IV)"
"/index.php/Aegon_IV_Targaryen";"Issue";"/index.php/Daemon_Blackfyre"
"/index.php/Aegon_IV_Targaryen";"Issue";"/index.php/Aegor_Rivers"
"/index.php/Aegon_IV_Targaryen";"Issue";"/index.php/Shiera_Seastar"
"/index.php/Aegon_IV_Targaryen";"Issue";"/index.php/Brynden_Rivers"
"/index.php/Aegon_IV_Targaryen";"Issue";"Daeron II Targaryen"
"/index.php/Aegon_IV_Targaryen";"Issue";"Daenerys Targaryen"
"/index.php/Aegon_IV_Targaryen";"Issue";"Daemon Blackfyre"
"/index.php/Aegon_IV_Targaryen";"Issue";"Aegor Bittersteel Rivers"
"/index.php/Aegon_IV_Targaryen";"Issue";"Shiera Seastar"
"/index.php/Aegon_IV_Targaryen";"Issue";"Brynden Bloodraven Rivers"
"/index.php/Aegon_IV_Targaryen";"Books";"/index.php/The_Hedge_Knight"
"/index.php/Aegon_IV_Targaryen";"Books";"/index.php/The_Mystery_Knight"
"/index.php/Aegon_IV_Targaryen";"Books";"/index.php/A_Game_of_Thrones"
"/index.php/Aegon_IV_Targaryen";"Books";"The Hedge Knight (Mentioned)"
"/index.php/Aegon_IV_Targaryen";"Books";"The Mystery Knight (Mentioned)"
"/index.php/Aegon_IV_Targaryen";"Books";"A Game of Thrones (Mentioned)"
"/index.php/Aegon_IV_Targaryen";"name";"Aegon IV Targaryen"
"/index.php/Aegon_V_Targaryen";"Reign";"233AC - 259AC"
"/index.php/Aegon_V_Targaryen";"Full Name";"Aegon Targaryen Fifth of His Name"
"/index.php/Aegon_V_Targaryen";"Alias";"Aegon the Unlikely"
"/index.php/Aegon_V_Targaryen";"Alias";"Aegon the Fortunate"
"/index.php/Aegon_V_Targaryen";"Alias";"Egg"
"/index.php/Aegon_V_Targaryen";"Other Titles";"/index.php/Seven_Kingdoms"
"/index.php/Aegon_V_Targaryen";"Other Titles";"King of Andals, the Rhoynar and the First Men"
"/index.php/Aegon_V_Targaryen";"Other Titles";"Lord of the Seven Kingdoms"
"/index.php/Aegon_V_Targaryen";"Other Titles";"Protector of the Realm"
"/index.php/Aegon_V_Targaryen";"Born in";"/index.php/King%27s_Landing"
"/index.php/Aegon_V_Targaryen";"Born in";"200AC or 201AC, at King's Landing"
"/index.php/Aegon_V_Targaryen";"Died in";"/index.php/Tragedy_at_Summerhall"
"/index.php/Aegon_V_Targaryen";"Died in";"259AC, at Summerhall"
"/index.php/Aegon_V_Targaryen";"Royal House";"/index.php/House_Targaryen"
"/index.php/Aegon_V_Targaryen";"Royal House";"House Targaryen"
"/index.php/Aegon_V_Targaryen";"Predecessor";"/index.php/Maekar_I_Targaryen"
"/index.php/Aegon_V_Targaryen";"Predecessor";"Maekar I Targaryen"
"/index.php/Aegon_V_Targaryen";"Heir";"/index.php/Duncan_Targaryen"
"/index.php/Aegon_V_Targaryen";"Heir";"/index.php/Jaehaerys_II_Targaryen"
"/index.php/Aegon_V_Targaryen";"Heir";"1st: Duncan Targaryen (renounced rights)"
"/index.php/Aegon_V_Targaryen";"Heir";"2nd: Jaehaerys Targaryen"
"/index.php/Aegon_V_Targaryen";"Successor";"/index.php/Jaehaerys_II_Targaryen"
"/index.php/Aegon_V_Targaryen";"Successor";"Jaehaerys II Targaryen"
"/index.php/Aegon_V_Targaryen";"Issue";"/index.php/Duncan_Targaryen"
"/index.php/Aegon_V_Targaryen";"Issue";"/index.php/Jaehaerys_II_Targaryen"
"/index.php/Aegon_V_Targaryen";"Issue";"/index.php/Rhaelle_Targaryen"
"/index.php/Aegon_V_Targaryen";"Issue";"Duncan Targaryen"
"/index.php/Aegon_V_Targaryen";"Issue";"Jaehaerys II Targaryen"
"/index.php/Aegon_V_Targaryen";"Issue";"Unknown son"
"/index.php/Aegon_V_Targaryen";"Issue";"Rhaelle Targaryen"
"/index.php/Aegon_V_Targaryen";"Father";"/index.php/Maekar_I_Targaryen"
"/index.php/Aegon_V_Targaryen";"Father";"Maekar I Targaryen"
"/index.php/Aegon_V_Targaryen";"Books";"/index.php/The_Hedge_Knight"
"/index.php/Aegon_V_Targaryen";"Books";"/index.php/The_Sworn_Sword"
"/index.php/Aegon_V_Targaryen";"Books";"/index.php/The_Mystery_Knight"
"/index.php/Aegon_V_Targaryen";"Books";"/index.php/A_Game_of_Thrones"
"/index.php/Aegon_V_Targaryen";"Books";"/index.php/A_Clash_of_Kings"
"/index.php/Aegon_V_Targaryen";"Books";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_V_Targaryen";"Books";"/index.php/A_Feast_for_Crows"
"/index.php/Aegon_V_Targaryen";"Books";"/index.php/A_Dance_with_Dragons"
"/index.php/Aegon_V_Targaryen";"Books";"The Hedge Knight (Appears)"
"/index.php/Aegon_V_Targaryen";"Books";"The Sworn Sword (Appears)"
"/index.php/Aegon_V_Targaryen";"Books";"The Mystery Knight (Appears)"
"/index.php/Aegon_V_Targaryen";"Books";"A Game of Thrones (Mentioned)"
"/index.php/Aegon_V_Targaryen";"Books";"A Clash of Kings (Mentioned)"
"/index.php/Aegon_V_Targaryen";"Books";"A Storm of Swords (Mentioned)"
"/index.php/Aegon_V_Targaryen";"Books";"A Feast for Crows (Mentioned)"
"/index.php/Aegon_V_Targaryen";"Books";"A Dance with Dragons (Mentioned)"
"/index.php/Aegon_V_Targaryen";"name";"Aegon V Targaryen"
"/index.php/Aegon_Targaryen";"Alias";"Young Griff (possible)"
"/index.php/Aegon_Targaryen";"Alias";"The Mummer's Dragon"
"/index.php/Aegon_Targaryen";"Allegiance";"/index.php/House_Targaryen"
"/index.php/Aegon_Targaryen";"Allegiance";"House Targaryen"
"/index.php/Aegon_Targaryen";"Culture";"/index.php/Valyrian"
"/index.php/Aegon_Targaryen";"Culture";"Valyrian"
"/index.php/Aegon_Targaryen";"Born";"/index.php/King%27s_Landing"
"/index.php/Aegon_Targaryen";"Born";"In 282AC, at King's Landing"
"/index.php/Aegon_Targaryen";"Died";"/index.php/King%27s_Landing"
