"Sujeito";"Classe";"Predicado";"Objeto"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"bornIn";"107AC, at King's Landing"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"diedIn";"131AC, at King's Landing"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"father";"/index.php/Viserys_I_Targaryen"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"fullNameIs";"Aegon II Targaryen Second of His Name"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"hasAlias";"Aegon the Elder"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"hasAlias";"Aegon the Usurper"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"hasIssue";"/index.php/Jaehaera_Targaryen"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"hasIssue";"/index.php/Jaehaerys_Targaryen_(son_of_Aegon_II)"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"hasIssue";"/index.php/Maelor_Targaryen"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"motherIs";"/index.php/Alicent_Hightower"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"nameIs";"Aegon II Targaryen"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"otherTitles";"King of the Seven Kingdoms"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"queenIs";"/index.php/Helaena_Targaryen"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"reigned";"129AC - 131AC"
"/index.php/Aegon_II_Targaryen";"CHARACTER";"sucessorIs";"/index.php/Aegon_III_Targaryen"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"appearsIn";"/index.php/The_Hedge_Knight"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"appearsIn";"/index.php/The_Mystery_Knight"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"belongsToRoyalHouse";"/index.php/House_Targaryen"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"bornIn";"or between 135AC and 143AC, at King's Landing"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"diedIn";"184AC, at King's Landing"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"fullNameIs";"Aegon Targaryen Fourth of His Name"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"hasAlias";"Aegon the Unworthy"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"hasIssue";"/index.php/Aegor_Rivers"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"hasIssue";"/index.php/Brynden_Rivers"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"hasIssue";"/index.php/Daemon_Blackfyre"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"hasIssue";"/index.php/Daenerys_Targaryen"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"hasIssue";"/index.php/Daenerys_Targaryen_(daughter_of_Aegon_IV)"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"hasIssue";"/index.php/Daeron_II_Targaryen"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"hasIssue";"/index.php/Shiera_Seastar"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"heirIs";"/index.php/Daeron_II_Targaryen"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"nameIs";"Aegon IV Targaryen"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"otherTitles";"King of the Seven Kingdoms"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"queenIs";"/index.php/Naerys_Targaryen"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"reigned";"172AC - 184AC"
"/index.php/Aegon_IV_Targaryen";"CHARACTER";"sucessorIs";"/index.php/Daeron_II_Targaryen"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"appearsIn";"/index.php/The_Hedge_Knight"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"appearsIn";"/index.php/The_Mystery_Knight"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"appearsIn";"/index.php/The_Princess_and_the_Queen"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"appearsIn";"/index.php/The_Sworn_Sword"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"belongsToRoyalHouse";"/index.php/House_Targaryen"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"bornIn";"27 BC, at Dragonstone"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"diedIn";"37AC, at Dragonstone"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"father";"/index.php/Aerion_Targaryen"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"father";"/index.php/Aerion_Targaryen_(son_of_Daemion)"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"fullNameIs";"Aegon Targaryen First of His Name"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"hasAlias";"Aegon the Conqueror"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"hasAlias";"Aegon the Dragon"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"hasAlias";"Aegon the Dragonlord"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"hasIssue";"/index.php/Aenys_I_Targaryen"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"hasIssue";"/index.php/Maegor_I_Targaryen"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"heirIs";"/index.php/Aenys_I_Targaryen"
"/index.php/Aegon_I_Targaryen";"CHARACTER";"motherIs";"/index.php/Valaena_Velaryon"
